Product Name,Brand Name,Breadcrumbs,Art,Lev.Art,Price,Recommended Price,Short Description,Description,Color,Picture,Variant Images,Properties,Brand Information,MetaTitle,MetaDescription,Website
"Standing Lion Poster, 30x40 cm",OYOY,Dekoration,328067,L10257,310kr,,"Standing Lion poster från OYOY med en lekfull, färgglad illustration perfekt för barnrummet.","<div>Postern från OYOY har en lekfull, färgglad illustration perfekt för barnrummet. <br/><br/> Tillverkad i Danmark.<br/><br/> <h2>Om postern från OYOY</h2><br/>- Tillverkad i Danmark.<br/>- Designsamarbete: Moira Frith X OYOY<br/><br/><br/></div>",,https://media.royaldesign.se/1/oyoy-standing-lion-poster-multi-0?quality=80&w=800,,"Produktinformation_Artikelnummer_328067,Produktinformation_Lev. artikelnummer_L10257,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Small,Produktinformation_Färg_Brun,Produktinformation_Material_Papper,Produktinformation_Storlek_30x40,Produktinformation_Tillverkad i_Danmark,Produktinformation_Bredd_30 cm,Produktinformation_Höjd_40 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Standing Lion Poster, 30x40 cm från OYOY | NordicDetails.se","Standing Lion poster från OYOY med en lekfull, färgglad illustration perfekt för barnrummet. ✓ Trygg leverans ✓ Flexibel betalning ✓ Design till rätt pris",https://royaldesign.se/standing-lion-poster-30x40-cm
"Pullo Termosflaska, Caramel/Icy Blue",OYOY,Glas,337320,L300843,287kr,320kr,Pullo termosflaska från OYOY med en praktisk design i rostfritt stål perfekt för både varma och kalla drycker.,"<div>Termosflaskan från OYOY har en praktisk design i rostfritt stål perfekt för både varma och kalla drycker.  Perfekt för utomhusaktiviteter.<br/><br/> <h2>Om termosflaskan från OYOY</h2><br/>- Tillverkad av rostfritt stål.<br/>- Kapacitet: 52 cl.<br/>- Höjd: 224 mm.<br/>- Diameter: 68 mm.<br/>- Hot: up to  6 hours, Cold: for up to 12 hours.<br/><br/><br/></div>",Karamell,https://media.royaldesign.se/1/oyoy-pullo-bottle-0?quality=80&w=800,https://media.royaldesign.se/1/oyoy-pullo-bottle-0?quality=80&w=800,"Produktinformation_Artikelnummer_337320,Produktinformation_Lev. artikelnummer_L300843,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Small,Produktinformation_Färg_Karamell,Produktinformation_Material_Rostfritt stål, Silikon,Produktinformation_Kapacitet_52 cl,Produktinformation_Diameter_6.8 cm,Produktinformation_Höjd_22.4 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Pullo Termosflaska, Caramel/Icy Blue från OYOY | NordicDetails.se",Pullo termosflaska från OYOY med en praktisk design i rostfritt stål perfekt för både varma och kalla drycker. ✓ Trygg leverans ✓ Flexibel betalning,https://royaldesign.se/pullo-termosflaska?p=337320
"Mellow Tallriksset 2-pack, Choko/Pale Mint",OYOY,Skålar & Uppläggningsfat,337302,M107300,316kr,500kr,"Mellow tallriksset från OYOY med två dekorativa, tåliga tallrikar i silikon med inspiration av marshmallows med härliga färger perfekta för barn, till vardags och för picknicken.","<div>Tallrikssetet från OYOY har två dekorativa, tåliga tallrikar i silikon med inspiration av marshmallows med härliga färger perfekta för barn, till vardags och för picknicken. <br/><br/> Kombinera tallrikssetet med ett Mellow bestickset.<br/><br/> <h2>Om tallrikssetet från OYOY</h2><br/>- Lekfull, praktisk design.<br/>- Enkel användning.<br/>- Tillverkat av silikon.<br/>- Kombinera tallrikssetet med ett Mellow bestickset.<br/>- Från serien Mellow.<br/>- Medföljer: tallrik, skål.<br/>- Storlek: Ø15 x H4,4 cm / Ø18 x H2,8 cm.<br/><br/> <h2>Skötselråd för tallrikssetet</h2><br/>- Tål diskmaskin.<br/><br/><br/><br/></div>",,https://media.royaldesign.se/1/oyoy-mellow-plate-bowl-2?quality=80&w=800,,"Produktinformation_Artikelnummer_337302,Produktinformation_Lev. artikelnummer_M107300,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Small,Produktinformation_Färg_Pale Mint, Choko,Produktinformation_Material_Silikon,Produktinformation_Diameter_18 cm,Produktinformation_Höjd_2.8 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Mellow Tallriksset 2-pack, Choko/Pale Mint från OYOY | NordicDetails.se",Köp Mellow Tallriksset 2-pack från OYOY - alltid till rätt pris! ✓ Trygg leverans ✓ Flexibel betalning ✓ Design till rätt pris,https://royaldesign.se/mellow-tallriksset-2-pack?p=337302
"Kojo Hurricane Ljuslykta, Powder",OYOY,Ljusstakar & Ljuslyktor,337383,L300922,330kr,,"Kojo Hurricane ljuslykta från OYOY med en elegant, organisk form i munblåst glas med vackra skiftningar perfekt för att skapa en mysig stämning i vilket rum som helst.","<div>Ljuslyktan från OYOY har en elegant, organisk form i munblåst glas med vackra skiftningar perfekt för att skapa en mysig stämning i vilket rum som helst.  . Det omsorgsfulla hantverket gör varje produkt unik och innebär att små variationer kan förekomma. Mixa och matcha med andra delar ur serien för att skapa en vacker kombination.<br/><br/> <h2>Om ljuslyktan från OYOY</h2><br/>- Elegant design.<br/>- Tillverkad av munblåst glas.<br/>- Ljuslyktan finns i  olika färger.<br/>- Från serien Kojo.<br/><br/> <h2>Skötselråd för ljuslyktan</h2><br/>- Endast handdisk.<br/><br/><br/><br/></div>",Puder,https://media.royaldesign.se/1/oyoy-kojo-hurricane-11?quality=80&w=800,https://media.royaldesign.se/1/oyoy-kojo-hurricane-11?quality=80&w=800,"Produktinformation_Artikelnummer_337383,Produktinformation_Lev. artikelnummer_L300922,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Small,Produktinformation_Färg_Puder,Produktinformation_Material_Glas,Produktinformation_Diameter_11 cm,Produktinformation_Höjd_9 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Kojo Hurricane Ljuslykta, Powder från OYOY | NordicDetails.se",Köp Kojo Hurricane Ljuslykta från OYOY - alltid till rätt pris! ✓ Trygg leverans ✓ Flexibel betalning ✓ Design till rätt pris,https://royaldesign.se/kojo-hurricane-ljuslykta?p=337383
"Follow The Rainbow Väggdekoration 55x69 cm, Choko",OYOY,Barnrumsinredning,328144,M107216,750kr,,"Follow The Rainbow väggdekoration från OYOY med en drömmig, handvävd regnbåge med vackra färgkombinationer och fransar i nederkant.","<div>Väggdekorationen från OYOY är perfekt för barnrummet och har en drömmig, handvävd regnbåge med vackra färgkombinationer och fransar i nederkant. <br/><br/> <h2>Om väggdekorationen från OYOY</h2><br/>- Finns i flera färgkombinationer.<br/><br/> <h2>Skötselråd för väggdekorationen</h2><br/>- Endast fläcktvätt.<br/>- Torka genast bort fläckar med en fuktig trasa.<br/><br/><br/><br/></div>",,https://media.royaldesign.se/1/oyoy-follow-the-rainbow-vaggdekor-100x115cm-4?quality=80&w=800,,"Produktinformation_Artikelnummer_328144,Produktinformation_Lev. artikelnummer_M107216,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Small,Produktinformation_Färg_Choko,Produktinformation_Material_Bomull,Produktinformation_Tillverkad i_Indien,Produktinformation_Tvättråd_Skumtvätt,Produktinformation_Övriga material_Läder, Trä, Ull,Produktinformation_Bredd_55 cm,Produktinformation_Höjd_69 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Follow The Rainbow Väggdekoration 55x69 cm, Choko | NordicDetails.se","Follow The Rainbow väggdekoration från OYOY med en drömmig, handvävd regnbåge med vackra färgkombinationer och fransar i nederkant. ✓ Trygg leverans",https://royaldesign.se/follow-the-rainbow-vaggdekoration?p=328144
Scented Candle- Mori Doftljus,OYOY,Ljusstakar & Ljuslyktor,337316,L300895,230kr,,Scented Candle- Mori doftljus från OYOY med en dekorativ glasburk med ett lock och en uppfriskande doft.,<div>Doftljuset från OYOY har en dekorativ glasburk med ett lock och en uppfriskande doft.  Perfekt för att skapa en mysig stämning i vilket rum som helst.<br/><br/> <h2>Om doftljuset från OYOY</h2><br/>- Tillverkat av sojavax.<br/>- Dekorativ glasburk i klarglas.<br/>- Scent: Tall och cypress/ Pine and Cypress<br/><br/><br/></div>,,https://media.royaldesign.se/1/oyoy-scented-candle-mori-0?quality=80&w=800,https://media.royaldesign.se/1/oyoy-scented-candle-mori-0?quality=80&w=800,"Produktinformation_Artikelnummer_337316,Produktinformation_Lev. artikelnummer_L300895,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Small,Produktinformation_Färg_Vit,Produktinformation_Material_Vax,Produktinformation_Diameter_75 cm,Produktinformation_Höjd_10 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,Scented Candle- Mori Doftljus från OYOY | NordicDetails.se,Scented Candle- Mori doftljus från OYOY med en dekorativ glasburk med ett lock och en uppfriskande doft. ✓ Trygg leverans ✓ Flexibel betalning,https://royaldesign.se/scented-candle-mori-doftljus
Leopard Miniature Väggdekoration,OYOY,Dekoration,337393,M107355,400kr,,"Väggdekoration från OYOY med en dekorativ design med en mjuk, härlig känsla med fina, lekfulla motiv perfekt för barnrummet.","<div>Väggdekorationen från OYOY har en dekorativ design med en mjuk, härlig känsla med fina, lekfulla motiv perfekt för barnrummet.  Är fin tillsammans med andra produkter från samma kollektion.<br/></div>",,https://media.royaldesign.se/1/oyoy-leopard-miniature-wallhanger-0?quality=80&w=800,,"Produktinformation_Artikelnummer_337393,Produktinformation_Lev. artikelnummer_M107355,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Small,Produktinformation_Färg_Beige,Produktinformation_Material_Ull, Bomull,Produktinformation_Bredd_28.5 cm,Produktinformation_Höjd_24 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,Leopard Miniature Väggdekoration från OYOY | NordicDetails.se,"Väggdekoration från OYOY med en dekorativ design med en mjuk, härlig känsla med fina, lekfulla motiv perfekt för barnrummet. ✓ Trygg leverans",https://royaldesign.se/vaggdekoration?p=337393
Henry Elephant Speldosa,OYOY,Barnrumsinredning,337374,M107349,550kr,,Speldosa från OYOY med en gullig design med olika figurer att välja mellan och en mysig vaggvisa perfekt till barnrummet eller barnvagnen.,<div>Speldosan från OYOY har en gullig design med olika figurer att välja mellan och en mysig vaggvisa perfekt till barnrummet eller barnvagnen. <br/><br/> <h2>Om speldosan från OYOY</h2><br/>- Uppskattas för den gulliga designen.<br/>- Är också omtyckt för den mysiga vaggvisan.<br/>- Bredd: 130 mm.<br/>- Höjd: 180 mm.<br/>- Längd: 170 mm.<br/>- Fyllning: Polyester.<br/><br/><br/></div>,,https://media.royaldesign.se/1/oyoy-henry-elephant-music-mobile-0?quality=80&w=800,,"Produktinformation_Artikelnummer_337374,Produktinformation_Lev. artikelnummer_M107349,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Small,Produktinformation_Färg_Grå,Produktinformation_Material_Bomull, Polyester,Produktinformation_Bredd_11 cm,Produktinformation_Höjd_25 cm,Produktinformation_Längd_19 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,Henry Elephant Speldosa från OYOY | NordicDetails.se,Speldosa från OYOY med en gullig design med olika figurer att välja mellan och en mysig vaggvisa perfekt till barnrummet eller barnvagnen. ✓ Trygg leverans,https://royaldesign.se/speldosa?p=337374
"Follow The Rainbow Väggdekoration 100x124 cm, Multi",OYOY,Barnrumsinredning,204683,1100505,1099kr,1290kr,"Follow The Rainbow väggdekoration från OYOY med en drömmig, handvävd regnbåge med vackra färgkombinationer och fransar i nederkant.","<div>Väggdekorationen från OYOY är perfekt för barnrummet och har en drömmig, handvävd regnbåge med vackra färgkombinationer och fransar i nederkant. <br/><br/> <h2>Om väggdekorationen från OYOY</h2><br/>- Finns i flera färgkombinationer.<br/><br/> <h2>Skötselråd för väggdekorationen</h2><br/>- Endast fläcktvätt.<br/>- Torka genast bort fläckar med en fuktig trasa.<br/><br/><br/><br/></div>",,https://media.royaldesign.se/1/oyoy-follow-the-rainbow-vaggdekor-100x115cm-0?quality=80&w=800,https://media.royaldesign.se/1/oyoy-follow-the-rainbow-vaggdekor-100x115cm-0?quality=80&w=800,"Produktinformation_Artikelnummer_204683,Produktinformation_Lev. artikelnummer_1100505,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Small,Produktinformation_Färg_Multi,Produktinformation_Material_Bomull,Produktinformation_Tillverkad i_Indien,Produktinformation_Tvättråd_Skumtvätt,Produktinformation_Övriga material_Läder, Trä, Ull,Produktinformation_Bredd_100 cm,Produktinformation_Höjd_124 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Follow The Rainbow Väggdekoration 100x124 cm, Multi | NordicDetails.se","Follow The Rainbow väggdekoration från OYOY med en drömmig, handvävd regnbåge med vackra färgkombinationer och fransar i nederkant. ✓ Trygg leverans",https://royaldesign.se/follow-the-rainbow-vaggdekoration?p=204683
"Putki Dörrmatta 52x76 cm, Caramel",OYOY,Mattor,328091,L300471,530kr,,"Putki dörrmatta från OYOY i återvunnen polyester med ett enkelt, stilrent uttryck och fransar längs kortsidorna.","<div>Dörrmattan från OYOY är tillverkad av återvunnen polyester med ett enkelt, stilrent uttryck och fransar längs kortsidorna. <br/><br/> <h2>Om dörrmattan från OYOY</h2><br/>- Finns i flera färger.<br/>- Storlek: 52x76 cm.<br/><br/><br/></div>",Karamell,https://media.royaldesign.se/1/oyoy-putki-recycled-doormat-choko-4?quality=80&w=800,https://media.royaldesign.se/1/oyoy-putki-recycled-doormat-choko-4?quality=80&w=800,"Produktinformation_Artikelnummer_328091,Produktinformation_Lev. artikelnummer_L300471,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Medium,Produktinformation_Färg_Karamell,Produktinformation_Material_Polyester,Produktinformation_Storlek_52x76,Produktinformation_Tillverkad i_Indien,Produktinformation_Bredd_52 cm,Produktinformation_Längd_76 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Putki Dörrmatta 52x76 cm, Caramel från OYOY | NordicDetails.se","Putki dörrmatta från OYOY i återvunnen polyester med ett enkelt, stilrent uttryck och fransar längs kortsidorna. ✓ Trygg leverans ✓ Flexibel betalning",https://royaldesign.se/putki-dorrmatta-52x76-cm?p=328091
"Raita Handduk 100x50 cm, Caramel/Isblå",OYOY,Badrumstextilier,328102,L300114,310kr,,"Raita handduk från OYOY i mjuk, ekologisk bomull med ett randigt mönster och ett modernt, stilrent uttryck.","<div>Handduken från OYOY är tillverkad av mjuk, ekologisk bomull med ett randigt mönster och ett modernt, stilrent uttryck. <br/><br/> <h2>Om handduken från OYOY</h2><br/>- Finns i flera storlekar.<br/>- Finns i flera färger.<br/>- Tillverkad i Portugal.<br/><br/> <h2>Skötselråd för handduken</h2><br/>- Tvättas i 60°C.<br/><br/><br/><br/></div>",50x100,https://media.royaldesign.se/1/oyoy-raita-towel-40x60-cm-9?quality=80&w=800,https://media.royaldesign.se/1/oyoy-raita-towel-40x60-cm-9?quality=80&w=800,"Produktinformation_Artikelnummer_328102,Produktinformation_Lev. artikelnummer_L300114,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Small,Produktinformation_Färg_Isblå, Karamell, Cloud,Produktinformation_Storlek_50x100,Produktinformation_Tillverkad i_Portugal",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Raita Handduk 100x50 cm, Caramel/Isblå från OYOY | NordicDetails.se","Raita handduk från OYOY i mjuk, ekologisk bomull med ett randigt mönster och ett modernt, stilrent uttryck. ✓ Trygg leverans ✓ Flexibel betalning",https://royaldesign.se/raita-handduk?p=328102
Yummy Termosflaska Pear,OYOY,Glas,337334,M107386,330kr,,"Yummy termosflaska från OYOY med en praktisk design i aluminium perfekt för barn, för picknicken och för utomhusaktiviteter.","<div>Termosflaskan från OYOY har en praktisk design i aluminium perfekt för barn, för picknicken och för utomhusaktiviteter.  Kombinera med andra delar i serien och skapa din personliga stil.<br/><br/> <h2>Om termosflaskan från OYOY</h2><br/>- Tillverkad av aluminium.<br/>- Från serien Yummy.<br/>- Kapacitet: 36 cl.<br/>- Höjd: 187 mm.<br/>- Diameter: 73 mm.<br/>- Hot: up to  6 hours, Cold: for up to 12 hours.<br/><br/><br/></div>",Yummy Termosflaska Pear,https://media.royaldesign.se/1/oyoy-yummy-bottle-0?quality=80&w=800,https://media.royaldesign.se/1/oyoy-yummy-bottle-0?quality=80&w=800,"Produktinformation_Artikelnummer_337334,Produktinformation_Lev. artikelnummer_M107386,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Small,Produktinformation_Färg_Brun,Produktinformation_Material_Aluminium,Produktinformation_Diameter_7.3 cm,Produktinformation_Höjd_18.7 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,Yummy Termosflaska Pear från OYOY | NordicDetails.se,"Yummy termosflaska från OYOY med en praktisk design i aluminium perfekt för barn, för picknicken och för utomhusaktiviteter. ✓ Trygg leverans",https://royaldesign.se/yummy-termosflaska?p=337334
Yummy Termosflaska Apple,OYOY,Glas,337336,M107388,330kr,,"Yummy termosflaska från OYOY med en praktisk design i aluminium perfekt för barn, för picknicken och för utomhusaktiviteter.","<div>Termosflaskan från OYOY har en praktisk design i aluminium perfekt för barn, för picknicken och för utomhusaktiviteter.  Kombinera med andra delar i serien och skapa din personliga stil.<br/><br/> <h2>Om termosflaskan från OYOY</h2><br/>- Tillverkad av aluminium.<br/>- Från serien Yummy.<br/>- Kapacitet: 36 cl.<br/>- Höjd: 187 mm.<br/>- Diameter: 73 mm.<br/>- Hot: up to  6 hours, Cold: for up to 12 hours.<br/><br/><br/></div>",Yummy Termosflaska Apple,https://media.royaldesign.se/1/oyoy-yummy-bottle-8?quality=80&w=800,https://media.royaldesign.se/1/oyoy-yummy-bottle-8?quality=80&w=800,"Produktinformation_Artikelnummer_337336,Produktinformation_Lev. artikelnummer_M107388,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Small,Produktinformation_Färg_Brun,Produktinformation_Material_Aluminium,Produktinformation_Diameter_7.3 cm,Produktinformation_Höjd_18.7 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,Yummy Termosflaska Apple från OYOY | NordicDetails.se,"Yummy termosflaska från OYOY med en praktisk design i aluminium perfekt för barn, för picknicken och för utomhusaktiviteter. ✓ Trygg leverans",https://royaldesign.se/yummy-termosflaska?p=337336
"OY Matstol, Ask",OYOY,Stolar & Pallar,337397,L300946,3900kr,,"OY matstol från OYOY med en tidlös, enkel design i ask som harmoniskt smälter in i hemmet med fina, rundade former.","<div>Matstolen från OYOY har en tidlös, enkel design i ask som harmoniskt smälter in i hemmet med fina, rundade former.  Perfekt i vilket rum som helst. Välj mellan två olika färger.<br/><br/> <h2>Om matstolen från OYOY</h2><br/>- Välj mellan två olika färger.<br/>- Bredd: 446 mm.<br/>- Höjd: 840 mm.<br/>- Längd: 465 mm.<br/><br/><br/></div>",Trä,https://media.royaldesign.se/1/oyoy-oy-dining-chair-0?quality=80&w=800,https://media.royaldesign.se/1/oyoy-oy-dining-chair-0?quality=80&w=800,"Produktinformation_Artikelnummer_337397,Produktinformation_Lev. artikelnummer_L300946,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_ExtraLarge,Produktinformation_Färg_Trä,Produktinformation_Material_Ask, Askfanér,Produktinformation_Bredd_44.6 cm,Produktinformation_Höjd_84 cm,Produktinformation_Längd_46.5 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"OY Matstol, Ask från OYOY | NordicDetails.se","OY matstol från OYOY med en tidlös, enkel design i ask som harmoniskt smälter in i hemmet med fina, rundade former. ✓ Trygg leverans ✓ Flexibel betalning",https://royaldesign.se/oy-matstol?p=337397
"Saga Bonbonniere Burk Med Lock High, Off-white",OYOY,Skålar & Uppläggningsfat,337295,L300597,380kr,,"Saga Bonbonniere burk från OYOY med en dekorativ, rundad form i stengods perfekt för snygg förvaring.","<div>Burken från OYOY har en dekorativ, rundad form i stengods perfekt för snygg förvaring.  Mixa och matcha med andra delar ur serien för att skapa en vacker kombination.<br/><br/> <h2>Om burken från OYOY</h2><br/>- Tillverkad av stengods.<br/>- Variationer i utseendet kan förekomma.<br/>- Kombinera burken med en andra produkt från OYOY.<br/>- Höjd: 125 mm.<br/>- Diameter: 155 mm.<br/><br/><br/></div>",Off-White,https://media.royaldesign.se/1/oyoy-saga-bonbonniere-high-1?quality=80&w=800,https://media.royaldesign.se/1/oyoy-saga-bonbonniere-high-1?quality=80&w=800,"Produktinformation_Artikelnummer_337295,Produktinformation_Lev. artikelnummer_L300597,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Small,Produktinformation_Färg_Off-White,Produktinformation_Material_Stengods,Produktinformation_Diameter_9 cm,Produktinformation_Höjd_10.5 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Saga Bonbonniere Burk Med Lock High, Off-white | NordicDetails.se","Saga Bonbonniere burk från OYOY med en dekorativ, rundad form i stengods perfekt för snygg förvaring. ✓ Trygg leverans ✓ Flexibel betalning",https://royaldesign.se/saga-bonbonniere-burk-med-lock-high?p=337295
"Siltaa Recycled Pall / Sidobord, Svart",OYOY,Stolar & Pallar,337344,L300853,2000kr,,Siltaa Recycled pall från OYOY med en tålig design i återvunnen plast.,"<div>Pallen från OYOY är perfekt för vardagsrummet, hallen eller sovrummet och enkel att ta fram när det behövs extra sittplatser och har en tålig design i återvunnen plast. <br/><br/> <h2>Om pallen från OYOY</h2><br/>- Lätt att flytta runt.<br/>- Storlek: Ø23 x H35 cm.<br/><br/><br/></div>",,https://media.royaldesign.se/1/oyoy-siltaa-recycled-stool-10?quality=80&w=800,https://media.royaldesign.se/1/oyoy-siltaa-recycled-stool-10?quality=80&w=800,"Produktinformation_Artikelnummer_337344,Produktinformation_Lev. artikelnummer_L300853,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Small,Produktinformation_Färg_Svart,Produktinformation_Material_Återanvänd plast,Produktinformation_Diameter_23 cm,Produktinformation_Höjd_35 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Siltaa Recycled Pall / Sidobord, Svart från OYOY | NordicDetails.se",Siltaa Recycled pall från OYOY med en tålig design i återvunnen plast. ✓ Trygg leverans ✓ Flexibel betalning ✓ Design till rätt pris,https://royaldesign.se/siltaa-recycled-pall-sidobord?p=337344
"Mizu Dricksglas 2-pack, Gul",OYOY,Glas,385020,L301091,345kr,,"Mizu dricksglas från OYOY i munblåst glas med en organisk, unik form med ett elegant, modernt uttryck med vita ränder för alla hem och stilar.","<div>Dricksglas från OYOY i munblåst glas med en organisk, unik form med ett elegant, modernt uttryck med vita ränder för alla hem och stilar. <br/><br/> <h2>Om dricksglasen från OYOY</h2><br/>- Mizu uppskattas för den eleganta, graciösa designen.<br/>- Kombinera dricksglasen med Mizu vattenkaraff från OYOY.<br/>- Säljs i 2-pack.<br/><br/> <h2>Skötselråd för dricksglasen</h2><br/>- Tål diskmaskin.<br/><br/></div>",,https://media.royaldesign.se/1/oyoy-mizu-dricksglas-2-pack-vit-14?quality=80&w=800,https://media.royaldesign.se/1/oyoy-mizu-dricksglas-2-pack-vit-14?quality=80&w=800,"Produktinformation_Artikelnummer_385020,Produktinformation_Lev. artikelnummer_L301091,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Small,Produktinformation_Antal i förpackning_2,Produktinformation_Färg_Gul,Produktinformation_Material_Glas,Produktinformation_Tillverkad i_Kina,Produktinformation_Tål maskindisk_Ja,Produktinformation_Kapacitet_32 cl,Produktinformation_Diameter_8 cm,Produktinformation_Höjd_8.2 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Mizu Dricksglas 2-pack, Gul från OYOY | NordicDetails.se","Mizu dricksglas från OYOY i munblåst glas med en organisk, unik form med ett elegant, modernt uttryck med vita ränder för alla hem och stilar. ✓ Trygg leverans",https://royaldesign.se/mizu-dricksglas-2-pack?p=385020
