Handle,Title,Body (HTML),Vendor,Product Category,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / Condition,Color (product.metafields.shopify.color-pattern),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Sweden,Status
1548-47-010,Svanefors A&E CTC metervara Denim 140cm,"Upptäck en ny twist på ett klassiskt mönster med vår akrylbehandlade metervara. Denna hållbara tygkvalitet är perfekt för att torkas av, vilket gör den till ett utmärkt alternativ till vaxduk. Med en bredd på 140 cm är den idealisk för olika projekt. Observera att vi tyvärr inte kan ta emot returer på specialbeställningar, inklusive gardintyg och metervaror, då vi klipper tyget efter dina specifikationer. Ge ditt hem en stilren uppgradering med detta mångsidiga tyg!",Svanefors,Home & Garden > Decor,TRUE,Title,Default Title,SVA-TEX-003,300.0,shopify,12,continue,manual,379,379,TRUE,TRUE,7332623408486,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-88-188.jpg,1,Svanefors A&E CTC metervara Denim 140cm,FALSE,Svanefors A&E CTC metervara Denim 140cm | Nordic Details,"Upptäck vårt akrylbehandlade metervara – hållbart, lätt att rengöra och perfekt för alla projekt. Ge ditt hem en stilren uppgradering idag!",female,adult,new,blå,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-88-188.jpg,g,se_vat_25,146,TRUE,active
1549-00-009,,,,,,,,,,,,,,,,,,,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-88-188_2.jpg,2,,,,,,,,,,,,,,
1549-00-888,,,,,,,,,,,,,,,,,,,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-88-188_3.jpg,3,,,,,,,,,,,,,,
1549-47-009,,,,,,,,,,,,,,,,,,,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-88-188_9.jpg,4,,,,,,,,,,,,,,
1549-47-888,Svanefors A&E CTC metervara Röd 140cm,"Upptäck en ny twist på ett klassiskt tryckt mönster! Detta akrylbehandlade tyg är både stiligt och praktiskt – perfekt för att torkas av och ett utmärkt alternativ till vaxduk. Med en bredd på 140 cm ger det dig frihet att skapa det du önskar. Observera att vi tyvärr inte kan ta emot returer på specialbeställningar som gardintyg och metervaror, eftersom vi klipper tyget efter dina specifikationer. Ge ditt hem en fräsch look med detta mångsidiga tyg!",Svanefors,Home & Garden > Decor,TRUE,Title,Default Title,SVA-TEX-004,300.0,shopify,12,continue,manual,379,379,TRUE,TRUE,7332623171625,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-88-004_1.jpg,1,Svanefors A&E CTC metervara Röd 140cm,FALSE,Svanefors A&E CTC metervara Röd 140cm | Nordic Details,"Upptäck stiligt akrylbehandlat tyg med klassiskt mönster! Perfekt för hemmet, lätt att torka av och 140 cm brett. Skapa din drömdesign idag!",female,adult,new,röd,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-88-004_1.jpg,g,se_vat_25,146,TRUE,active
1555-47-177,,,,,,,,,,,,,,,,,,,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-88-004.jpg,2,,,,,,,,,,,,,,
1559-01-005,Svanefors A&E CTC Metervara Rost 140cm,"Upptäck en ny twist på ett klassiskt tryckt mönster! Detta akrylbehandlade tyg är både stiligt och praktiskt – perfekt för att torkas av och ett utmärkt alternativ till vaxduk. Med en bredd på 140 cm ger det dig frihet att skapa det du önskar. Observera att vi tyvärr inte kan ta emot returer på specialbeställningar som gardintyg och metervaror, eftersom vi klipper tyget efter dina specifikationer. Ge ditt hem en elegant touch med detta mångsidiga tyg!",Svanefors,Home & Garden > Decor,TRUE,Title,Default Title,SVA-TEX-005,300.0,shopify,12,continue,manual,379,379,TRUE,TRUE,7332623406932,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-88-061.jpg,1,Svanefors A&E CTC Metervara Rost 140cm,FALSE,Svanefors A&E CTC Metervara Rost 140cm | Nordic Details,"Upptäck vårt stiliga akrylbehandlade tyg! Perfekt för kreativa projekt, lätt att torka av och 140 cm brett. Ge ditt hem en elegant touch!",female,adult,new,brun,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-88-061.jpg,g,se_vat_25,146,TRUE,active
1559-01-103,Svanefors A&E Curtain 2P Röd 2x145x250cm,"Ge ditt hem en stilren uppgradering med dessa eleganta gardinlängder i klassiskt mönster. I detta praktiska 2-pack får du gardiner med multiband i ovankant, vilket ger dig friheten att hänga dem på olika sätt – oavsett om du föredrar fingerkrokar, räkor eller direkt på en stång. Med måtten 145x250 cm kan du enkelt justera längden med snabbfållningsband för att passa just ditt fönster.

Dessa gardiner är inte bara vackra, de är också certifierade enligt STANDARD 100 by OEKO-TEX®, vilket innebär att de är testade och fria från skadliga ämnen. Skapa en inbjudande atmosfär i ditt hem med dessa stiliga och miljövänliga gardiner!",Svanefors,Home & Garden > Decor,TRUE,Title,Default Title,SVA-TEX-006,842.0,shopify,9,continue,manual,1799,1799,TRUE,TRUE,7332623338622,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/6726-20-004/1608038961184/6726-20-004.jpg,1,Svanefors A&E Curtain 2P Röd 2x145x250cm,FALSE,Svanefors A&E Curtain 2P Röd 2x145x250cm | Nordic Details,"Uppgradera ditt hem med eleganta gardinlängder i klassiskt mönster. Justerbara, miljövänliga och certifierade för din trygghet!",female,adult,new,röd,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/6726-20-004/1608038961184/6726-20-004.jpg,g,se_vat_25,692,TRUE,active
1559-19-005,,,,,,,,,,,,,,,,,,,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-20-004.jpg,2,,,,,,,,,,,,,,
1559-19-103,,,,,,,,,,,,,,,,,,,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/6726-20-004/1608038992026/6726-20-004_1.jpg,3,,,,,,,,,,,,,,
1559-20-005,,,,,,,,,,,,,,,,,,,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/6726-20-004/1608038992106/6726-20-004_2.jpg,4,,,,,,,,,,,,,,
1559-20-103,,,,,,,,,,,,,,,,,,,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-20-004_1m.jpg,5,,,,,,,,,,,,,,
1566-00-062,,,,,,,,,,,,,,,,,,,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-20-004_2m.jpg,6,,,,,,,,,,,,,,
1566-00-099,Svanefors A&E Duk Denim 140x250cm,"Ge ditt matbord en stilren och inbjudande look med denna eleganta bordsduk i denim. Med måtten 140x250 cm är den perfekt för både vardagsmiddagar och festliga tillfällen. För en extra touch av lyx, kombinera duken med matchande tygservetter och lägg till en bordsfilt under för en sofistikerad dukning. 

Denna duk är certifierad enligt STANDARD 100 by OEKO-TEX®, vilket innebär att den är noggrant testad och fri från skadliga ämnen, både för din hälsa och för miljön. Skapa en vacker och trygg matupplevelse med denna stiliga bordsduk!",Svanefors,Home & Garden > Kitchen & Dining > Tableware,TRUE,Title,Default Title,SVA-DUK-002,630.0,shopify,10,continue,manual,899,899,TRUE,TRUE,7332623408493,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-85-188.jpg,1,Svanefors A&E Duk Denim 140x250cm,FALSE,Svanefors A&E Duk Denim 140x250cm | Nordic Details,Ge ditt matbord en elegant look med vår denim bordsduk (140x250 cm). Certifierad OEKO-TEX® för en trygg och stilfull dukning!,female,adult,new,blå,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-85-188.jpg,g,se_vat_25,346,TRUE,active
1566-00-333,,,,,,,,,,,,,,,,,,,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-85-188_1.jpg,2,,,,,,,,,,,,,,
1566-82-062,,,,,,,,,,,,,,,,,,,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-85-188_2.jpg,3,,,,,,,,,,,,,,
1566-82-099,,,,,,,,,,,,,,,,,,,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-85-188_3.jpg,4,,,,,,,,,,,,,,
1566-82-333,,,,,,,,,,,,,,,,,,,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-85-188_9.jpg,5,,,,,,,,,,,,,,
1566-83-062,Svanefors A&E Duk Denim 140x350cm,"Ge ditt matbord en stilren och inbjudande look med denna eleganta bordsduk i denim. Med måtten 140x350 cm är den perfekt för att skapa en lyxig dukning. Kombinera gärna med matchande tygservetter och en bordsfilt för att höja stämningen ytterligare. Duken är certifierad enligt STANDARD 100 by OEKO-TEX®, vilket innebär att den är testad och fri från skadliga ämnen, både för din hälsa och för miljön. Låt din dukning bli en fest för ögonen!",Svanefors,Home & Garden > Kitchen & Dining > Tableware,TRUE,Title,Default Title,SVA-DUK-003,882.0,shopify,16,continue,manual,999,999,TRUE,TRUE,7332623408509,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-86-188.jpg,1,Svanefors A&E Duk Denim 140x350cm,FALSE,Svanefors A&E Duk Denim 140x350cm | Nordic Details,Ge ditt matbord en elegant look med vår denim bordsduk (140x350 cm). Certifierad och miljövänlig – perfekt för lyxiga dukningar!,female,adult,new,blå,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-86-188.jpg,g,se_vat_25,384,TRUE,active
1566-83-099,,,,,,,,,,,,,,,,,,,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-86-188_1.jpg,2,,,,,,,,,,,,,,
1566-83-333,,,,,,,,,,,,,,,,,,,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-86-188_2.jpg,3,,,,,,,,,,,,,,
1566-85-062,,,,,,,,,,,,,,,,,,,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-86-188_3.jpg,4,,,,,,,,,,,,,,
1566-85-099,,,,,,,,,,,,,,,,,,,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-86-188_9.jpg,5,,,,,,,,,,,,,,
1566-85-333,Svanefors A&E Gardin 2P Blå 2x145x250cm,"Ge ditt hem en fräsch och stilren look med dessa eleganta gardinlängder. Med ett klassiskt tryckt mönster i en modern tappning, får du två stycken gardiner som mäter 145x250 cm vardera. Den smarta multibandslösningen gör det enkelt att hänga upp gardinerna med fingerkrokar, räkor eller direkt på en stång, så att du kan skapa det perfekta fallet och vecket.

Gardinerna har fållade långsidor och en snygg overlocksöm i nederkant, vilket ger dem en professionell finish. Justera längden enkelt med snabbfållningsband för att passa just ditt fönster. Dessutom är produkten certifierad enligt STANDARD 100 by OEKO-TEX®, vilket innebär att den är testad och fri från skadliga ämnen för både din hälsa och miljön. 

Låt dessa gardiner bli en vacker del av ditt hem!",Svanefors,Home & Garden > Decor,TRUE,Title,Default Title,SVA-TEX-007,842.0,shopify,9,continue,manual,1799,1799,TRUE,TRUE,7332623338837,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-20-008.jpg,1,Svanefors A&E Gardin 2P Blå 2x145x250cm,FALSE,Svanefors A&E Gardin 2P Blå 2x145x250cm | Nordic Details,"Ge ditt hem en stilren look med eleganta gardinlängder. Lätta att hänga upp och justera, med OEKO-TEX® certifiering för din trygghet.",female,adult,new,blå,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-20-008.jpg,g,se_vat_25,692,TRUE,active
1566-86-062,,,,,,,,,,,,,,,,,,,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-20-008_1.jpg,2,,,,,,,,,,,,,,
1566-86-099,,,,,,,,,,,,,,,,,,,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/6726-20-008/1594370299114/6726-19-008_m.jpg,3,,,,,,,,,,,,,,
1566-86-333,,,,,,,,,,,,,,,,,,,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-20-088.jpg,1,,,,,,,,,,,,,,
1609-72-999,,,,,,,,,,,,,,,,,,,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-20-088_1.png,2,,,,,,,,,,,,,,
1609-89-999,,,,,,,,,,,,,,,,,,,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-20-088_1.jpg,3,,,,,,,,,,,,,,
1610-72-125,,,,,,,,,,,,,,,,,,,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/6726-20-088/1600780328827/6726-20-088_2.jpg,4,,,,,,,,,,,,,,
1611-82-002,,,,,,,,,,,,,,,,,,,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-20-088_9.jpg,5,,,,,,,,,,,,,,
1611-82-125,Svanefors A&E Gardin 2P Denim 2x145x250cm,"Ge ditt hem en stilren uppgradering med dessa eleganta gardinlängder i klassiskt mönster. I detta praktiska 2-pack får du gardiner med multiband i ovankant, vilket ger dig friheten att hänga dem precis som du vill – med fingerkrokar, räkor eller direkt på en stång. Varje gardin mäter 145x250 cm och har en snygg fållning på långsidorna samt en överlockad nederkant för en professionell finish. 

Justera längden enkelt med snabbfållningsband för att få den perfekta passformen. Dessutom är gardinerna certifierade enligt STANDARD 100 by OEKO-TEX®, vilket innebär att de är testade och fria från skadliga ämnen, både för din hälsa och miljön. Låt dessa gardiner bli en vacker del av ditt hem!",Svanefors,Home & Garden > Decor,TRUE,Title,Default Title,SVA-TEX-008,1300.0,shopify,9,continue,manual,1799,1799,TRUE,TRUE,7332623408462,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-20-188.jpg,1,Svanefors A&E Gardin 2P Denim 2x145x250cm,FALSE,Svanefors A&E Gardin 2P Denim 2x145x250cm | Nordic Details,Uppgradera ditt hem med eleganta gardinlängder i klassiskt mönster. Praktiskt 2-pack med justerbar längd och OEKO-TEX® certifiering för din trygghet.,female,adult,new,blå,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-20-188.jpg,g,se_vat_25,692,TRUE,active
1612-82-125,,,,,,,,,,,,,,,,,,,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-20-188_1.jpg,2,,,,,,,,,,,,,,
1613-91-002,,,,,,,,,,,,,,,,,,,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-20-188_2.jpg,3,,,,,,,,,,,,,,
1613-91-010,,,,,,,,,,,,,,,,,,,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-20-188_4.jpg,4,,,,,,,,,,,,,,
1613-91-124,,,,,,,,,,,,,,,,,,,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-20-188_2m.jpg,5,,,,,,,,,,,,,,
1613-92-002,Svanefors A&E Gardin 2P Rost 2x145x250cm,"Ge ditt hem en stilren uppgradering med dessa eleganta gardinlängder. Det klassiska tryckta mönstret i en ny tappning ger en fräsch känsla till varje rum. Med multiband i ovankant kan du enkelt hänga upp gardinerna med fingerkrokar, räkor eller direkt på en stång, vilket ger dig frihet att välja det utseende du önskar. 

Varje gardin mäter 145x250 cm och har fållade långsidor samt en snygg overlocksöm i nederkant. Justera längden enkelt med snabbfållningsband för att få den perfekta passformen. Dessutom är gardinerna certifierade enligt STANDARD 100 by OEKO-TEX®, vilket säkerställer att de är fria från skadliga ämnen för både hälsa och miljö. 

Låt dessa gardinlängder bli en vacker del av ditt hem!",Svanefors,Home & Garden > Decor,TRUE,Title,Default Title,SVA-TEX-009,1300.0,shopify,9,continue,manual,1799,1799,TRUE,TRUE,7332623406574,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-20-061.jpg,1,Svanefors A&E Gardin 2P Rost 2x145x250cm,FALSE,Svanefors A&E Gardin 2P Rost 2x145x250cm | Nordic Details,"Uppgradera ditt hem med eleganta gardinlängder i klassiskt mönster. Lätta att hänga upp och justera, certifierade för din trygghet.",female,adult,new,brun,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-20-061.jpg,g,se_vat_25,692,TRUE,active
1613-92-010,,,,,,,,,,,,,,,,,,,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-20-061_1.jpg,2,,,,,,,,,,,,,,
1613-92-124,,,,,,,,,,,,,,,,,,,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-20-061_2.jpg,3,,,,,,,,,,,,,,
1614-47-088,,,,,,,,,,,,,,,,,,,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-20-061_1m.jpg,4,,,,,,,,,,,,,,
1614-47-124,,,,,,,,,,,,,,,,,,,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/gung-pim/images/upload/6726-20-061_2m.jpg,5,,,,,,,,,,,,,,
