SUPPLIER PRODUCT NUMBER,SUPPLIER PRODUCT NAME,SUPPLIER EAN CODE ,PACKAGING UNIT,RETAIL PRICE (MSRP),PURCHASE PRICE (EXCL. VAT),BRAND,CATEGORY,MATERIAL,COLOR,COUNTRY OF ORIGIN,PRODUCT DESCRIPTION,MICROWAVE SAFE,CLEANING/WASHING INSTRUCTIONS,DISHWASHER SAFE,HANDMADE,DIAMETER (CM),WIDTH (CM) ,HEIGHT (CM),LENGHT (CM),CAPACITY (ML),NET PRODUCT WEIGHT (GRAMS),PACKAGE DIMENSIONS: LENGTH (CM),PACKAGE DIMENSIONS: HEIGHT (CM),PACKAGE DIMENSIONS: WIDTH (CM),GROSS WEIGHT INCL. PACKAGE (GRAMS)
100-32,Paris Hobnail Jug 2L Olivegreen,5740009208438,1 pcs / 1 box,"€123,75","€49,50",Anna von Lipa,Jugs and Carafes, Glass,Olivegreen,Czech Republic,"This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. An eternal classic that now comes in an array of colours, that will fit any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,20,-,22,No Length,2000,1555,"18,5",24,"18,7",1555
100-40,Paris Hobnail Jug 2L Lilla,5740009200937,1 pcs / 1 box,"€123,75","€49,50",Anna von Lipa,Jugs and Carafes, Glass,Lilla,Czech Republic,"This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. An eternal classic that now comes in an array of colours, that will fit any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,20,-,22,No Length,2000,1555,"18,5",24,"18,7",1555
100-45,Paris Hobnail Jug 2L Garnet,8595711804358,1 pcs / 1 box,"€123,75","€49,50",Anna von Lipa,Jugs and Carafes, Glass,Garnet,Czech Republic,"This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. An eternal classic that now comes in an array of colours, that will fit any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,20,-,22,No Length,2000,1555,"18,5",24,"18,7",1555
100-46,Paris Hobnail Jug 2L Black,8595711804556,1 pcs / 1 box,"€123,75","€49,50",Anna von Lipa,Jugs and Carafes, Glass,Black,Czech Republic,"This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. An eternal classic that now comes in an array of colours, that will fit any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,20,-,22,No Length,2000,1555,"18,5",24,"18,7",1555
100-50,Paris Hobnail Jug 2L Rosa,5740009200494,1 pcs / 1 box,"€123,75","€49,50",Anna von Lipa,Jugs and Carafes, Glass,Rosa,Czech Republic,"This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. An eternal classic that now comes in an array of colours, that will fit any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,20,-,22,No Length,2000,1555,"18,5",24,"18,7",1555
100-1/77,Paris Hobnail Jug 2L Amber + Dark Blue Smoke,8595711804631,1 pcs / 1 box,"€131,25","€52,50",Anna von Lipa,Jugs and Carafes, Glass,Amber+Dark Blue smoke,Czech Republic,"This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. An eternal classic that now comes in an array of colours, that will fit any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,20,-,22,No Length,2000,1555,"18,5",24,"18,7",1555
100-32/40,Paris Hobnail Jug 2L Olivegreen+Lilla,5740009208445,1 pcs / 1 box,"€131,25","€52,50",Anna von Lipa,Jugs and Carafes, Glass,Olivegreen+Lilla,Czech Republic,"This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. An eternal classic that now comes in an array of colours, that will fit any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,20,-,22,No Length,2000,1555,"18,5",24,"18,7",1555
100-40/32,Paris Hobnail Jug 2L Lilla+Olivegreen,5740009208452,1 pcs / 1 box,"€131,25","€52,50",Anna von Lipa,Jugs and Carafes, Glass,Lilla+Olivegreen,Czech Republic,"This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. An eternal classic that now comes in an array of colours, that will fit any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,20,-,22,No Length,2000,1555,"18,5",24,"18,7",1555
100-77/1,Paris Hobnail Jug 2L Dark Blue Smoke + Amber,8595711804648,1 pcs / 1 box,"€131,25","€52,50",Anna von Lipa,Jugs and Carafes, Glass,Dark Blue smoke+Amber,Czech Republic,"This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. An eternal classic that now comes in an array of colours, that will fit any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,20,-,22,No Length,2000,1555,"18,5",24,"18,7",1555
101-155,Alice's Paris Hobnail Jug 2L Neon Pink,8595711800077,1 pcs / 1 box,"€141,25","€56,50",Anna von Lipa,Jugs and Carafes, Glass,Neon Pink,Czech Republic,The beloved Hobnail Jug 2L got a makeover! Perfect your table setting with game-changing colours and contemporary designs with a dash of silk touch.,no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,20,-,22,No Length,2000,1555,"18,5",24,"18,7",1555
101-157,Alice's Paris Hobnail Jug 2L Lime ,8595711800084,1 pcs / 1 box,"€154,38","€61,75",Anna von Lipa,Jugs and Carafes, Glass,Lime,Czech Republic,The beloved Hobnail Jug 2L got a makeover! Perfect your table setting with game-changing colours and contemporary designs with a dash of silk touch.,no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,20,-,22,No Length,2000,1555,"18,5",24,"18,7",1555
101-158,Alice's Paris Hobnail Jug 2L Bright Neon Pink,8595711800091,1 pcs / 1 box,"€141,25","€56,50",Anna von Lipa,Jugs and Carafes, Glass,Bright Neon Pink,Czech Republic,The beloved Hobnail Jug 2L got a makeover! Perfect your table setting with game-changing colours and contemporary designs with a dash of silk touch.,no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,20,-,22,No Length,2000,1555,"18,5",24,"18,7",1555
101-167,Alice's Paris Hobnail Jug 2L Champagne,8595711800763,1 pcs / 1 box,"€141,25","€56,50",Anna von Lipa,Jugs and Carafes, Glass,Champagne,Czech Republic,The beloved Hobnail Jug 2L got a makeover! Perfect your table setting with game-changing colours and contemporary designs with a dash of silk touch.,no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,20,-,22,No Length,2000,1555,"18,5",24,"18,7",1555
101-56,Alice's Paris Hobnail Jug 2L Minty Green,5740009209459,1 pcs / 1 box,"€141,25","€56,50",Anna von Lipa,Jugs and Carafes, Glass,Minty Green,Czech Republic,The beloved Hobnail Jug 2L got a makeover! Perfect your table setting with game-changing colours and contemporary designs with a dash of silk touch.,no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,20,-,22,No Length,2000,1555,"18,5",24,"18,7",1555
101-57,Alice's Paris Hobnail Jug 2L Silky Rose,5740009209466,1 pcs / 1 box,"€141,25","€56,50",Anna von Lipa,Jugs and Carafes, Glass,Silky Rose,Czech Republic,The beloved Hobnail Jug 2L got a makeover! Perfect your table setting with game-changing colours and contemporary designs with a dash of silk touch.,no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,20,-,22,No Length,2000,1555,"18,5",24,"18,7",1555
101-58,Alice's Paris Hobnail Jug 2L Pearly Blue,5740009209473,1 pcs / 1 box,"€141,25","€56,50",Anna von Lipa,Jugs and Carafes, Glass,Pearly Blue,Czech Republic,The beloved Hobnail Jug 2L got a makeover! Perfect your table setting with game-changing colours and contemporary designs with a dash of silk touch.,no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,20,-,22,No Length,2000,1555,"18,5",24,"18,7",1555
101-59,Alice's Paris Hobnail Jug 2L Dusty Lavender,5740009209480,1 pcs / 1 box,"€141,25","€56,50",Anna von Lipa,Jugs and Carafes, Glass,Dusty Lavender,Czech Republic,The beloved Hobnail Jug 2L got a makeover! Perfect your table setting with game-changing colours and contemporary designs with a dash of silk touch.,no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,20,-,22,No Length,2000,1555,"18,5",24,"18,7",1555
102-95,Paris Hobnail Confetti Jug Marble,8595711802132,1 pcs / 1 box,"€164,75","€65,90",Anna von Lipa,Jugs and Carafes, Glass,Marble,Czech Republic,"Special premium edition. One-of-a-kind art piece Paris Hobnail Confetti Jug. The confetti is based on a clear crystal and overlayed.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,20,-,22,No Length,2000,1555,"18,5",24,"18,7",1555
102-131,Paris Hobnail Confetti Jug Apricot,8595711802149,1 pcs / 1 box,"€164,75","€65,90",Anna von Lipa,Jugs and Carafes, Glass,Apricot,Czech Republic,"Special premium edition. One-of-a-kind art piece Paris Hobnail Confetti Jug. The confetti is based on a clear crystal and overlayed.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,20,-,22,No Length,2000,1555,"18,5",24,"18,7",1555
102-163,Paris Hobnail Confetti Jug Coffee,5740009210134,1 pcs / 1 box,"€164,75","€65,90",Anna von Lipa,Jugs and Carafes, Glass,Coffee,Czech Republic,"Special premium edition. One-of-a-kind art piece Paris Hobnail Confetti Jug. The confetti is based on a clear crystal and overlayed.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,20,-,22,No Length,2000,1555,"18,5",24,"18,7",1555
102-166,Paris Hobnail Confetti Jug Peach Melba,5740009210141,1 pcs / 1 box,"€164,75","€65,90",Anna von Lipa,Jugs and Carafes, Glass,Peach Melba,Czech Republic,"Special premium edition. One-of-a-kind art piece Paris Hobnail Confetti Jug. The confetti is based on a clear crystal and overlayed.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,20,-,22,No Length,2000,1555,"18,5",24,"18,7",1555
104-139,Volcano Jug 2L Blue Agate,8595711804211,1 pcs / 1 box,"€187,50","€75,00",Anna von Lipa,Jugs and Carafes, Glass,Blue Agate,Czech Republic,"The VOLCANO collection was created in collaboration with glassworks and a combination of special techniques. The production process is very specific and we are proud to present this specialized design to you. The discovery of this technique goes back in history and it is great that our manufacturing experts can still produce this technique today. And why VOLCANO? What do the colors on the glass remind you of? Yes, an active volcano, lava and heat... maybe more. The muted colors are meant to remind us of this natural phenomenon. Their appearance certainly suits modern homes and can be easily combined with other natural materials such as wood and stone.

Each piece is unique. At the factory, we never know what creation the used colors will create and what the final effect will be for the given piece. That's why production is exciting and creative. The uniqueness of this collection gives it mystery. Let the VOLCANO erupt in Anna von Lipa.",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,20,-,22,No Length,2000,1555,"18,5",24,"18,7",1555
105-1,Paris Hobnail Jug 2L Amber + Gold,8595711800107,1 pcs / 1 box,"€175,50","€70,20",Anna von Lipa,Jugs and Carafes, Glass,Amber + Gold,Czech Republic,"This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. Gold stained.

",no,Can't go in the dishwasher,no,yes,20,-,22,No Length,2000,1555,"18,5",24,"18,7",1555
105-7,Paris Hobnail Jug 2L Blue smoke + Gold ,8595711800114,1 pcs / 1 box,"€175,50","€70,20",Anna von Lipa,Jugs and Carafes, Glass,Blue smoke + Gold,Czech Republic,"This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. Gold stained.

",no,Can't go in the dishwasher,no,yes,20,-,22,No Length,2000,1555,"18,5",24,"18,7",1555
105-9,Paris Hobnail Jug 2L Cashmere + Gold ,8595711800121,1 pcs / 1 box,"€175,50","€70,20",Anna von Lipa,Jugs and Carafes, Glass,Cashmere + Gold,Czech Republic,"This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. Gold stained.

",no,Can't go in the dishwasher,no,yes,20,-,22,No Length,2000,1555,"18,5",24,"18,7",1555
105-25,Paris Hobnail Jug 2L Crystal + Gold,5740009208667,1 pcs / 1 box,"€175,50","€70,20",Anna von Lipa,Jugs and Carafes, Glass,Crystal + Gold,Czech Republic,"This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. Gold stained.

",no,Can't go in the dishwasher,no,yes,20,-,22,No Length,2000,1555,"18,5",24,"18,7",1555
105-50,Paris Hobnail Jug 2L Rosa + Gold,8595711803207,1 pcs / 1 box,"€175,50","€70,20",Anna von Lipa,Jugs and Carafes, Glass,Rosa + Gold,Czech Republic,"This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. Gold stained.

",no,Can't go in the dishwasher,no,yes,20,-,22,No Length,2000,1555,"18,5",24,"18,7",1555
110-7,Paris Hobnail Jug 1L Blue smoke,5740009200685,1 pcs / 1 box,"€101,25","€40,50",Anna von Lipa,Jugs and Carafes, Glass,Blue smoke,Czech Republic,"This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. An eternal classic that now comes in an array of colours, that will fit any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,18,-,18,No Length,1000,900,19,16,16,900
110-9,Paris Hobnail Jug 1L Cashmere,5740009201170,1 pcs / 1 box,"€101,25","€40,50",Anna von Lipa,Jugs and Carafes, Glass,Cashmere,Czech Republic,"This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. An eternal classic that now comes in an array of colours, that will fit any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,18,-,18,No Length,1000,900,19,16,16,900
110-10,Paris Hobnail Jug 1L Crystal,5740009200708,1 pcs / 1 box,"€101,25","€40,50",Anna von Lipa,Jugs and Carafes, Glass,Crystal,Czech Republic,"This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. An eternal classic that now comes in an array of colours, that will fit any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,18,-,18,No Length,1000,900,19,16,16,900
110-12,Paris Hobnail Jug 1L Citron,5740009200692,1 pcs / 1 box,"€101,25","€40,50",Anna von Lipa,Jugs and Carafes, Glass,Citron,Czech Republic,"This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. An eternal classic that now comes in an array of colours, that will fit any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,18,-,18,No Length,1000,900,19,16,16,900
110-14,Paris Hobnail Jug 1L Light blue,5740009201187,1 pcs / 1 box,"€101,25","€40,50",Anna von Lipa,Jugs and Carafes, Glass,Light blue,Czech Republic,"This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. An eternal classic that now comes in an array of colours, that will fit any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,18,-,18,No Length,1000,900,19,16,16,900
110-16,Paris Hobnail Jug 1L Steel blue,8595711801258,1 pcs / 1 box,"€101,25","€40,50",Anna von Lipa,Jugs and Carafes, Glass,Steel Blue,Czech Republic,"This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. An eternal classic that now comes in an array of colours, that will fit any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,18,-,18,No Length,1000,900,19,16,16,900
110-21,Paris Hobnail Jug 1L Light Green,5740009200715,1 pcs / 1 box,"€101,25","€40,50",Anna von Lipa,Jugs and Carafes, Glass,Light green,Czech Republic,"This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. An eternal classic that now comes in an array of colours, that will fit any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,18,-,18,No Length,1000,900,19,16,16,900
110-27,Paris Hobnail Jug 1L Lavender,8595711802781,1 pcs / 1 box,"€101,25","€40,50",Anna von Lipa,Jugs and Carafes, Glass,Lavender,Czech Republic,"This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. An eternal classic that now comes in an array of colours, that will fit any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,18,-,18,No Length,1000,900,19,16,16,900
110-30,Paris Hobnail Jug 1L New brown,8595711802163,1 pcs / 1 box,"€101,25","€40,50",Anna von Lipa,Jugs and Carafes, Glass,New Brown,Czech Republic,"This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. An eternal classic that now comes in an array of colours, that will fit any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,18,-,18,No Length,1000,900,19,16,16,900
110-32,Paris Hobnail Jug 1L Olivegreen,5740009208469,1 pcs / 1 box,"€101,25","€40,50",Anna von Lipa,Jugs and Carafes, Glass,Olivegreen,Czech Republic,"This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. An eternal classic that now comes in an array of colours, that will fit any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,18,-,18,No Length,1000,900,19,16,16,900
110-40,Paris Hobnail Jug 1L Lilla,5740009201040,1 pcs / 1 box,"€101,25","€40,50",Anna von Lipa,Jugs and Carafes, Glass,Lilla,Czech Republic,"This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. An eternal classic that now comes in an array of colours, that will fit any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,18,-,18,No Length,1000,900,19,16,16,900
110-45,Paris Hobnail Jug 1L Garnet,8595711804037,1 pcs / 1 box,"€128,75","€51,50",Anna von Lipa,Jugs and Carafes, Glass,Garnet,Czech Republic,"This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. An eternal classic that now comes in an array of colours, that will fit any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,18,-,18,No Length,1000,900,19,16,16,900
110-50,Paris Hobnail Jug 1L Rosa,5740009200739,1 pcs / 1 box,"€101,25","€40,50",Anna von Lipa,Jugs and Carafes, Glass,Rosa,Czech Republic,"This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. An eternal classic that now comes in an array of colours, that will fit any mood or season.

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,18,-,18,No Length,1000,900,19,16,16,900
114-139,Volcano Jug 1L Blue Agate,8595711804228,1 pcs / 1 box,"€162,50","€65,00",Anna von Lipa,Jugs and Carafes, Glass,Blue Agate,Czech Republic,"The VOLCANO collection was created in collaboration with glassworks and a combination of special techniques. The production process is very specific and we are proud to present this specialized design to you. The discovery of this technique goes back in history and it is great that our manufacturing experts can still produce this technique today. And why VOLCANO? What do the colors on the glass remind you of? Yes, an active volcano, lava and heat... maybe more. The muted colors are meant to remind us of this natural phenomenon. Their appearance certainly suits modern homes and can be easily combined with other natural materials such as wood and stone.

Each piece is unique. At the factory, we never know what creation the used colors will create and what the final effect will be for the given piece. That's why production is exciting and creative. The uniqueness of this collection gives it mystery. Let the VOLCANO erupt in Anna von Lipa.",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,18,-,18,No Length,1000,900,19,16,16,900
130-1,Eiffel Hobnail Jug 1L Amber,5740009200746,1 pcs / 1 box,"€116,25","€46,50",Anna von Lipa,Jugs and Carafes, Glass,Amber,Czech Republic,"Tall, slender and proud. The Eiffel vase in the traditional Bohemian hobnail pattern is an elegant piece, mouthblown and handmade by professionals with decades of experience. Used for wine, water or flowers – or just as a decoration in itself – it is sure to be a centerpiece in any household. 

",no,"We recommend using the special program for glass at low temperature below 40
degrees Celsius",yes,yes,17,-,27,No Length,1000,1755,"13,5",30,"13,8",1755
